@ , evento inesperado,,,,
@ , proteção               , 00817680-n-2              ," a atividade de proteger alguém ou alguma coisa; ""as testemunhas exigiram proteção policial"" ", ,
3, mecenato                  , 01213886-n-1              ," o ato de conceder aprovação e suporte; ""sua vigorosa proteção aos conservadores o deixou com problemas com os progressistas"" ", ,
5, defesa                    , 00954311-n-2              ," (militar) ação militar ou recursos protegendo um país contra inimigos em potencial; ""eles morreram na defesa de Stalingrado""; ""eles foram desenvolvidos para o programa de proteção "" ", ,
@ , desastre,,,,
1, flagelo                   , 07314838-n-1              , ,,
2, calamidade                , 07314838-n-4              , ,,
3, catástrofe               , 07314838-n-6              , ,,
4, tragédia                 , 07314838-n-5              , ,,
5, catástrofes              , 07314838-n-3              , ,,
6, cataclismo                , 07314838-n-7              , ,,
@ , consultoria,,,,
2, consulta                 , 00631712-n-2              , ,,
@ , participante de mercado crítico,,,,
@ , falha em transação,,,,
@ , risco operacional,,,,
@ , risco de compensação,,,,
@ , interrupção de operaçao significativa,,,,
@ , roubo,,,,
2, rapto                     , 00769944-n-2              , ,,
3, furto                     , 00780889-n-2              , ato de tomar algo de alguém ilegalmente , ,
7, espoliação              , 00966869-n-2              , ,,
8, assalto                   , 00781685-n-1              , ,,
9, roubo                     , 00781685-n-2              , ,,
10, rapina                    , 13262663-n-2              , ,,
11, saque                     , 13262663-n-5              , ,,
13, botim                     , 13262663-n-4              , ,,
14, espólio                  , 13262663-n-3              , ,,
15, pilhagem                  , 13262663-n-6              , ,,
@ , agente de ameaça,,,,
@ , pessoa jurídica,,,,
@ , risco social e ambiental,,,,
@ , líder da indústria,,,,
@ , opções de tecnologia,,,,
@ , correção,,,,
1, emenda                    , 01250101-n-1              , ,,
9, retificação             , 00258854-n-2              , o ato de oferecer uma melhoria para substituir um erro; endireitar , ,
10, correção                , 00258854-n-1              , o ato de oferecer uma melhoria para substituir um erro; endireitar , ,
@ , produto,,,,
0, mercadoria                , 03076708-n-5              , ,,
2, artigo                    , 03076708-n-7              , ,,
3, objecto posto à venda    , 03076708-n-1              , ,,
4, fazenda                   , 03076708-n-2              , ,,
5, bem                       , 03076708-n-3              , ,,
8, artigo                    , 03748886-n-3              , ,,
19, produção                , 04007894-n-5              , ,,
22, utensílio                , 00021939-n-1              , um objeto feito pelo homem considerado como um todo , ,
23, artefato                  , 00021939-n-3              , um objeto feito pelo homem considerado como um todo , ,
27, fruto                     , 04612722-n-2              , ,,
@ , risco legal,,,,
@ , pessoal,,,,
0, companhia                 , 08187033-n-3              , ,,
1, pessoal                   , 08187033-n-2              , ,,
2, elenco                    , 08187033-n-1              , ,,
5, equipe de funcionários   , 08439955-n-2              , ,,
17, gente                     , 07947255-n-5              , ,,
@ , vulnerabilidade,,,,
1, debilidade                , 05042871-n-1              , ,,
4, exposição               , 14543931-n-2              , ,,
@ , ameaça,,,,
3, risco                     , 14541044-n-1              , ,,
4, perigo                    , 14541044-n-3              , ,,
@ , Órgão regulador,,,,
@ , academia,,,,
2, escola                    , 08277805-n-1              , ,,
@ , mitigação do risco,,,,
@ , risco de contraparte,,,,
@ , risco,,,,
6, perigo                    , 14541852-n-3              , ,,
7, ameaça                   , 14541852-n-2              , ,,
9, risco                     , 00802238-n-2              , um risco empreendido sem levar em conta possíveis perdas ou danos , ,
@ , oferta de serviço,,,,
@ , líder funcional,,,,
@ , diretriz,,,,
1, diretiva                  , 07170080-n-4              , ,,
@ , pesquisa,,,,
1, sindicância              , 05800611-n-1              , ,,
2, investigação            , 05800611-n-3              , ,,
3, inquérito                , 05800611-n-4              , ,,
6, exploração              , 00945777-n-3              , ,,
12, inquérito                , 05797597-n-3              , ,,
@ , pessoa física,,,,
@ , stakeholder,,,,
@ , fator de risco,,,,
@ , parte confiável,,,,
@ , é conduzido por,,,,
@ , possui,,,,
@ , para,,,,
@ , define,,,,
@ , pode ser reduzido por,,,,
@ , pode danificar,,,,
@ , inclui,,,,
@ , materializar como,,,,
@ , conduz a,,,,
@ , pode possuir,,,,
@ , impõe,,,,
@ , atração,,,,
5, atratividade              , 04688246-n-1              ,,, 
@ , deseja diminuir,,,,
@ , sobre,,,,
@ , valoriza,,,,
@ , suscita,,,,
@ , estar ciente de,,,,
@ , para reduzir,,,,
@ , aumenta,,,,
@ , explora,,,,
@ , local de nascimento,,,,
0, lugar de nascimento       , 08510350-n-2              , local de nascimento       ,,
1, terra natal               , 08510350-n-1              , local de nascimento       ,,
2, local de nascimento       , 08510350-n-3              , local de nascimento       ,, 
@ , pessoa-chave,,,,
@ , cargo,,,,
0, ofício                   , b0                        , ,,
1, poder                     , b1                        , ,,
3, cargo                     , 00586262-n-2              , um trabalho em uma organização ,,
4, posição                 , 00586262-n-1              , um trabalho em uma organização ,,
@ , número de empregados,,,,
@ , tem nome,,,,
@ , descrição resumida,,,,
@ , iso3166 código de país,,,,
@ , data de morte,,,,
@ , indústria,,,,
0, indústria                , 00923444-n-2              ," a ação organizada de proporcinar bens e serviços para venda; ""a indústria americana está fazendo maior uso de computadores para controlar a produção "" ",,
1, manufatura                , 00923444-n-1              ," a ação organizada de proporcinar bens e serviços para venda; ""a indústria americana está fazendo maior uso de computadores para controlar a produção "" ",,
2, empresa industrial        , 08065234-n-1              , ,,
@ , lugar de fundação,,,,
@ , cidade de localização,,,,
@ , receita líquida,,,,
@ , tem endereço,,,,
@ , dados pessoais,,,,
@ , data de fundação,,,,
@ , número de localidades,,,,
@ , resumo,,,,
1, sumário                  , 06469223-n-3              , ,,
2, revisão rápida          , 06469223-n-1              , ,,
3, resumo geral              , 06469223-n-2              , ,,
9, compêndio                , 06467996-n-1              , ,,
13, abreviação              , 06468123-n-1              , ,,
14, abreviatura               , 06468123-n-3              , ,,
20, sinopse                   , 06468951-n-1              , ,,
24, currículo                , 06468403-n-1              , ,,
@ , fundado por,,,,
@ , iso4217 moeda,,,,
@ , dados institucionais,,,,
@ , data de nascimento,,,,
0, aniversário              , 15250178-n-3              , ,,
2, data de nascimento        , 15250178-n-2              , ,,
@ , descrição,,,,
1, caraterização           , 07201804-n-2              , ,,
7, ilustração              , 07202391-n-1              , ,,
12, declaração              , 06722453-n-3              , ,,
@ , códigos internacionais,,,,
